Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Product,Quantity,Unit_Price,Total_Sales,Payment_Method,City
T0050,2025-12-27,C386,Male,36.0,Electronics,Headphones,3,47236.23,141708.69,UPI,Delhi
T0051,2025-08-21,C176,Male,18.0,Beauty,Moisturizer,1,403.24,403.24,Cash,Delhi
T0052,2025-03-10,C199,Female,21.0,Beauty,Perfume,2,516.48,1032.96,UPI,Mumbai
T0053,2025-02-11,C286,Male,37.0,Home & Kitchen,Mixer,3,1730.63,5191.89,Credit Card,Pune
T0054,2025-08-27,C176,Male,36.0,Home & Kitchen,Blender,2,8675.9,17351.8,Credit Card,Bengaluru
T0055,2025-01-05,C129,Male,25.0,Beauty,Face Wash,3,2883.72,8651.16,Debit Card,Pune
T0056,2025-08-05,C401,Female,32.0,Electronics,Laptop,3,57256.93,171770.79,Cash,Delhi
T0057,2025-01-19,C139,Female,18.0,Beauty,Perfume,3,1145.15,3435.45,Debit Card,Pune
T0058,2025-11-13,C483,Male,26.0,Groceries,Coffee,2,159.95,319.9,UPI,Chennai
T0059,2025-04-27,C234,Female,28.0,Groceries,Cooking Oil,1,1313.41,1313.41,Cash,Pune
T0060,2025-08-01,C303,Female,34.0,Groceries,Rice,1,141.63,141.63,Net Banking,Mumbai
T0061,2025-01-01,C473,Female,30.0,Home & Kitchen,Blender,2,8561.96,17123.92,Debit Card,Hyderabad
T0062,2025-12-24,C256,Male,34.0,Home & Kitchen,Air Fryer,5,1353.86,6769.3,Credit Card,Mumbai
T0063,2025-08-16,C292,Male,18.0,Beauty,Shampoo,1,1569.31,1569.31,UPI,Hyderabad
T0064,2025-02-15,C135,Male,24.0,Electronics,Smartphone,3,43606.02,130818.06,,Chennai
T0065,2025-03-06,C246,Female,31.0,Groceries,Biscuits,1,663.98,663.98,UPI,Chennai
T0066,2025-10-10,C277,Male,40.0,Groceries,Coffee,2,1457.28,2914.56,UPI,Bengaluru
T0067,2025-09-16,C123,Male,32.0,Electronics,Headphones,2,46995.36,93990.72,Net Banking,Pune
T0068,2025-01-01,C151,Male,25.0,Clothing,Jeans,2,1825.97,3651.94,Net Banking,Mumbai
T0069,2025-02-23,C336,Male,18.0,Electronics,Smartphone,4,24004.42,96017.68,Debit Card,Hyderabad
T0070,2025-08-17,C441,Female,27.0,Electronics,Smartwatch,2,29867.86,59735.72,Credit Card,Chennai
T0071,2025-11-04,C349,Female,40.0,Home & Kitchen,Blender,2,5643.47,11286.94,UPI,Mumbai
T0072,2025-05-18,C284,Male,18.0,Clothing,Jacket,3,4880.59,14641.77,Credit Card,Hyderabad
T0073,2025-08-23,C143,Female,33.0,Beauty,Moisturizer,2,1449.26,2898.52,Debit Card,Chennai
T0074,2025-01-08,C488,Female,29.0,Electronics,Headphones,1,15898.94,15898.94,Cash,Hyderabad
T0075,2025-10-04,C105,Female,50.0,Home & Kitchen,Air Fryer,1,2872.87,2872.87,Cash,Bengaluru
T0076,2025-08-21,C112,Female,26.0,Groceries,Coffee,1,251.3,251.3,Credit Card,Hyderabad
T0077,2025-02-25,C450,Male,23.0,Clothing,T-Shirt,2,4282.82,8565.64,Net Banking,Hyderabad
T0078,2025-09-10,C280,Male,27.0,Clothing,Shoes,3,4615.43,13846.29,Credit Card,Mumbai
T0079,2025-10-01,C394,Male,34.0,Clothing,T-Shirt,4,4622.89,18491.56,Debit Card,Hyderabad
T0080,2025-08-19,C186,Female,22.0,Groceries,Cooking Oil,1,537.35,537.35,Cash,Hyderabad
T0081,2025-04-21,C328,Male,46.0,Electronics,Smartphone,3,33918.99,101756.97,Credit Card,Hyderabad
T0082,2025-06-29,C382,Female,38.0,Beauty,Perfume,2,1482.3,2964.6,Credit Card,Chennai
T0083,2025-03-11,C212,Female,34.0,Home & Kitchen,Mixer,1,3246.26,3246.26,Debit Card,Delhi
T0084,2025-08-17,C136,Female,28.0,Electronics,Headphones,1,8948.61,8948.61,Credit Card,Mumbai
T0085,2025-03-03,C294,Male,32.0,Beauty,Perfume,1,849.37,849.37,Debit Card,Bengaluru
T0086,2025-04-28,C424,Male,32.0,Home & Kitchen,Mixer,3,2813.59,8440.77,Cash,Hyderabad
T0087,2025-05-19,C456,Male,48.0,Beauty,Face Wash,3,531.7,1595.1,Debit Card,Chennai
T0088,2025-05-18,C272,Female,32.0,Electronics,Laptop,1,14989.56,14989.56,Net Banking,Bengaluru
T0089,2025-04-05,C405,Male,29.0,Beauty,Face Wash,2,3218.3,6436.6,Cash,Mumbai
T0090,2025-03-17,C135,Male,19.0,Clothing,Jeans,5,5950.11,29750.55,Cash,Pune
T0091,2025-12-05,C479,Female,37.0,Home & Kitchen,Mixer,3,2806.38,8419.14,Credit Card,Delhi
T0092,2025-10-23,C428,Male,36.0,Beauty,Face Wash,4,1691.29,6765.16,Debit Card,Pune
T0093,2025-11-05,C204,Female,49.0,Electronics,Headphones,2,28357.07,56714.14,Debit Card,Chennai
T0094,2025-01-15,C211,Male,18.0,Home & Kitchen,Blender,3,8539.01,25617.03,UPI,Mumbai
T0095,2025-11-18,C110,Male,39.0,Home & Kitchen,Air Fryer,1,3011.35,3011.35,Debit Card,Bengaluru
T0096,2025-08-16,C465,Female,37.0,Electronics,Laptop,3,13752.85,41258.55,Cash,Pune
T0097,2025-08-31,C392,Female,37.0,Groceries,Rice,3,990.43,2971.29,Debit Card,Chennai
T0098,2025-02-07,C234,Female,20.0,Groceries,Cooking Oil,1,1370.0,1370.0,Credit Card,Delhi
T0099,2025-12-22,C424,Male,27.0,Home & Kitchen,Air Fryer,3,7400.48,22201.44,Net Banking,Bengaluru
T0100,2025-02-20,C129,Female,,Electronics,Smartwatch,2,11583.92,23167.84,UPI,Delhi
T0101,2025-11-09,C101,Male,26.0,Home & Kitchen,Blender,1,2805.43,2805.43,Debit Card,Pune
T0102,2025-04-27,C254,Male,25.0,Electronics,Smartphone,1,49748.38,49748.38,Debit Card,Mumbai
T0103,2025-01-17,C228,Male,27.0,Electronics,Laptop,1,46350.06,46350.06,Debit Card,Mumbai
T0104,2025-06-29,C298,Male,36.0,Home & Kitchen,Blender,1,7227.24,7227.24,UPI,Hyderabad
T0105,2025-12-03,C184,Male,20.0,Groceries,Biscuits,1,811.55,811.55,UPI,Mumbai
T0106,2025-09-14,C324,Male,22.0,Beauty,Perfume,5,2108.34,10541.7,Debit Card,Chennai
T0107,2025-01-19,C118,Male,24.0,Home & Kitchen,Cookware,1,6034.36,6034.36,Debit Card,Bengaluru
T0108,2025-06-15,C419,Female,24.0,Clothing,Jeans,2,2704.2,5408.4,UPI,Pune
T0109,2025-02-24,C388,Female,35.0,Home & Kitchen,Air Fryer,2,9748.47,19496.94,Net Banking,Hyderabad
T0110,2025-09-12,C428,Female,27.0,Electronics,Headphones,1,18197.88,18197.88,UPI,Pune
T0111,2025-03-19,C388,Female,18.0,Home & Kitchen,Blender,1,3447.85,3447.85,Debit Card,Mumbai
T0112,2025-11-07,C107,Female,37.0,Beauty,Face Wash,1,1744.29,1744.29,UPI,Pune
T0113,2025-10-30,C297,Female,33.0,Home & Kitchen,Air Fryer,2,10787.19,21574.38,Debit Card,Bengaluru
T0114,2025-09-18,C393,Female,18.0,Clothing,Jacket,2,1974.35,3948.7,UPI,Bengaluru
T0115,2025-08-03,C228,Female,26.0,Groceries,Cooking Oil,2,1479.22,2958.44,UPI,Bengaluru
T0116,2025-08-25,C381,Male,32.0,Home & Kitchen,Mixer,1,6820.47,6820.47,UPI,Delhi
T0117,2025-03-16,C426,Female,30.0,Home & Kitchen,Cookware,1,3777.07,3777.07,Net Banking,Bengaluru
T0118,2025-06-02,C478,Female,33.0,Beauty,Face Wash,1,2305.88,2305.88,Net Banking,Bengaluru
T0119,2025-06-22,C290,Female,46.0,Groceries,Biscuits,3,329.03,987.09,Credit Card,Mumbai
T0120,2025-10-09,C129,Male,45.0,Home & Kitchen,Mixer,1,7515.62,7515.62,Debit Card,Chennai
T0121,2025-06-01,C346,Female,37.0,Beauty,Face Wash,5,1707.27,8536.35,Net Banking,Hyderabad
T0122,2025-09-01,C437,Female,45.0,Clothing,Shoes,2,1391.08,2782.16,Debit Card,Pune
T0123,2025-05-09,C317,Male,25.0,Home & Kitchen,Cookware,1,4672.4,4672.4,Debit Card,Bengaluru
T0124,2025-04-18,C272,Male,52.0,Electronics,Headphones,1,12043.8,12043.8,Credit Card,Mumbai
T0125,2025-09-21,C249,Male,18.0,Home & Kitchen,Mixer,2,10564.29,21128.58,Net Banking,Delhi
T0126,2025-12-31,C126,Male,27.0,Electronics,Laptop,2,19502.89,39005.78,Credit Card,Hyderabad
T0127,2025-06-25,C428,Female,18.0,Clothing,T-Shirt,1,4520.63,4520.63,Debit Card,Pune
T0128,2025-04-13,C373,Female,27.0,Clothing,Jacket,4,5145.02,20580.08,Debit Card,Mumbai
T0129,2025-12-30,C139,Male,32.0,Beauty,Face Wash,1,2954.11,2954.11,UPI,Mumbai
T0130,2025-01-16,C208,Female,,Groceries,Coffee,1,968.77,968.77,Credit Card,Chennai
T0131,2025-01-29,C418,Male,37.0,Clothing,Jeans,3,5988.64,17965.92,Cash,Hyderabad
T0132,2025-12-25,C440,Male,30.0,Beauty,Perfume,2,548.46,1096.92,UPI,Delhi
T0133,2025-10-20,C253,Female,18.0,Electronics,Headphones,4,45208.77,180835.08,UPI,Pune
T0134,2025-05-20,C287,Female,27.0,Electronics,Headphones,2,43341.66,86683.32,Net Banking,Pune
T0135,2025-03-03,C433,Female,32.0,Groceries,Biscuits,4,933.13,3732.52,UPI,Mumbai
T0136,2025-11-06,C473,Male,30.0,Beauty,Perfume,2,3383.74,6767.48,Net Banking,Delhi
T0137,2025-09-19,C105,Male,24.0,Clothing,Jacket,1,4787.71,4787.71,UPI,Hyderabad
T0138,2025-06-27,C438,Female,24.0,Home & Kitchen,Air Fryer,5,2665.02,13325.1,UPI,Chennai
T0139,2025-12-23,C198,Male,43.0,Home & Kitchen,Cookware,1,10812.61,10812.61,UPI,Chennai
T0140,2025-08-14,C432,Female,36.0,Home & Kitchen,Air Fryer,2,1201.46,2402.92,UPI,Hyderabad
T0141,2025-06-25,C190,Female,28.0,Groceries,Biscuits,2,448.85,897.7,Net Banking,Mumbai
T0142,2025-02-09,C401,Female,22.0,Groceries,Cooking Oil,1,1288.71,1288.71,Net Banking,Chennai
T0143,2025-09-19,C316,Male,43.0,Clothing,Jacket,2,1968.66,3937.32,Cash,Hyderabad
T0144,2025-02-14,C445,Male,18.0,Home & Kitchen,Blender,1,4474.3,4474.3,Credit Card,Mumbai
T0145,2025-01-31,C123,Female,31.0,Home & Kitchen,Cookware,5,5959.81,29799.05,Credit Card,Chennai
T0146,2025-09-15,C306,Male,28.0,Groceries,Coffee,4,81.59,326.36,Net Banking,Mumbai
T0147,2025-12-20,C288,Female,27.0,Clothing,Shoes,2,1137.14,2274.28,Net Banking,Chennai
T0148,2025-11-15,C160,Male,24.0,Home & Kitchen,Cookware,1,5584.32,5584.32,Net Banking,Pune
T0149,2025-07-12,C122,Female,25.0,Beauty,Moisturizer,1,2891.05,2891.05,Debit Card,Bengaluru
T0150,2025-06-13,C351,Male,31.0,Clothing,Jeans,5,5828.83,29144.15,Cash,Pune
T0151,2025-08-14,C385,Female,41.0,Beauty,Perfume,1,203.91,203.91,UPI,Chennai
T0152,2025-06-06,C175,Female,25.0,Groceries,Rice,1,1208.63,1208.63,Credit Card,Delhi
T0153,2025-05-27,C487,Male,34.0,Beauty,Shampoo,4,3865.18,15460.72,UPI,Bengaluru
T0154,2025-11-16,C381,Female,32.0,Beauty,Shampoo,1,1009.8,1009.8,Cash,Bengaluru
T0155,2025-01-08,C179,Male,18.0,Beauty,Moisturizer,1,546.43,546.43,Credit Card,Mumbai
T0156,2025-11-12,C478,Male,31.0,Home & Kitchen,Mixer,1,1067.55,1067.55,Cash,Delhi
T0157,2025-11-15,C314,Female,23.0,Electronics,Laptop,1,33562.92,33562.92,Net Banking,Pune
T0158,2025-07-28,C172,Male,48.0,Clothing,Shoes,2,5913.93,11827.86,Credit Card,Delhi
T0159,2025-09-24,C314,Male,42.0,Clothing,Jeans,5,5493.0,27465.0,UPI,Hyderabad
T0160,2025-11-06,C186,Female,37.0,Beauty,Face Wash,2,269.8,539.6,Cash,Hyderabad
T0161,2025-04-26,C254,Female,21.0,Clothing,Shoes,2,682.62,1365.24,Credit Card,Delhi
T0162,2025-04-16,C475,Female,30.0,Clothing,Jeans,3,5017.92,15053.76,UPI,Chennai
T0163,2025-02-10,C470,Female,32.0,Groceries,Biscuits,2,950.38,1900.76,Credit Card,Mumbai
T0164,2025-03-25,C308,Female,38.0,Beauty,Shampoo,2,2040.71,4081.42,Credit Card,Delhi
T0165,2025-01-12,C187,Female,34.0,Clothing,Jacket,3,948.96,2846.88,Net Banking,Hyderabad
T0166,2025-12-22,C273,Female,51.0,Groceries,Biscuits,1,1465.73,1465.73,Net Banking,Pune
T0167,2025-12-27,C159,Male,47.0,Home & Kitchen,Air Fryer,1,11958.57,11958.57,Cash,Bengaluru
T0168,2025-07-26,C453,Male,34.0,Home & Kitchen,Blender,1,5427.92,5427.92,Cash,Hyderabad
T0169,2025-01-20,C252,Female,41.0,Groceries,Biscuits,2,1124.2,2248.4,UPI,Chennai
T0170,2025-08-16,C166,Male,27.0,Electronics,Smartwatch,1,28566.79,28566.79,Credit Card,Mumbai
T0171,2025-02-09,C121,Male,38.0,Clothing,Jacket,1,3926.32,3926.32,UPI,Chennai
T0172,2025-10-25,C114,Female,31.0,Clothing,Shoes,2,3810.2,7620.4,Credit Card,Pune
T0173,2025-08-19,C184,Female,18.0,Groceries,Coffee,4,712.33,2849.32,UPI,Chennai
T0174,2025-09-18,C264,Male,29.0,Electronics,Smartphone,2,52615.29,105230.58,Debit Card,Bengaluru
T0175,2025-09-14,C233,Female,30.0,Home & Kitchen,Cookware,1,10066.38,10066.38,Debit Card,Mumbai
T0176,2025-05-01,C207,Male,18.0,Electronics,Smartphone,1,16716.2,16716.2,Net Banking,Mumbai
T0177,2025-04-18,C351,Male,33.0,Groceries,Rice,2,1312.95,2625.9,Cash,Bengaluru
T0178,2025-10-12,C101,Male,34.0,Clothing,T-Shirt,2,5651.33,11302.66,Debit Card,Delhi
T0179,2025-09-08,C399,Female,47.0,Groceries,Rice,2,761.45,1522.9,Credit Card,Hyderabad
T0180,2025-06-27,C394,Female,37.0,Clothing,T-Shirt,4,3001.07,12004.28,Net Banking,Mumbai
T0181,2025-06-06,C452,Female,22.0,Clothing,Jeans,1,4519.56,4519.56,Net Banking,Delhi
T0182,2025-04-24,C245,Female,35.0,Clothing,T-Shirt,4,5695.38,22781.52,UPI,Mumbai
T0183,2025-12-27,C190,Female,36.0,Home & Kitchen,Air Fryer,3,8236.78,24710.34,Cash,Bengaluru
T0184,2025-06-18,C189,Female,31.0,Clothing,Shoes,1,5874.46,5874.46,Net Banking,Hyderabad
T0185,2025-05-12,C202,Male,23.0,Groceries,Rice,3,1166.57,3499.71,Credit Card,Bengaluru
T0186,2025-05-09,C444,Female,26.0,Groceries,Rice,1,1313.84,1313.84,UPI,Pune
T0187,2025-11-01,C324,Male,41.0,Electronics,Smartwatch,2,36521.99,73043.98,Debit Card,Mumbai
T0188,2025-11-26,C365,Male,50.0,Clothing,Jacket,2,4175.17,8350.34,Net Banking,Bengaluru
T0189,2025-12-09,C426,Female,18.0,Clothing,Jeans,2,2669.01,5338.02,Credit Card,Mumbai
T0190,2025-12-02,C403,Male,31.0,Home & Kitchen,Blender,1,2912.29,2912.29,Cash,Hyderabad
T0191,2025-11-30,C481,Female,18.0,Beauty,Perfume,2,939.32,1878.64,Net Banking,Mumbai
T0192,2025-05-24,C206,Female,25.0,Home & Kitchen,Mixer,3,6792.52,20377.56,Credit Card,Bengaluru
T0193,2025-03-15,C139,Male,20.0,Electronics,Smartphone,1,43418.13,43418.13,UPI,Bengaluru
T0194,2025-09-20,C410,Male,27.0,Groceries,Coffee,4,682.83,2731.32,Cash,Pune
T0195,2025-01-26,C109,Male,31.0,Clothing,Jacket,3,5363.14,16089.42,Credit Card,Bengaluru
T0196,2025-02-18,C254,Male,35.0,Electronics,Smartphone,4,48037.12,192148.48,Net Banking,Mumbai
T0197,2025-06-13,C342,Male,27.0,Clothing,Shoes,3,1025.44,3076.32,UPI,Chennai
T0198,2025-05-30,C393,Male,42.0,Beauty,Shampoo,2,2234.36,4468.72,Debit Card,Mumbai
T0199,2025-11-16,C391,Male,37.0,Home & Kitchen,Cookware,1,2302.05,2302.05,Net Banking,Bengaluru
T0200,2025-08-29,C380,Female,18.0,Home & Kitchen,Cookware,2,8808.85,17617.7,Debit Card,Mumbai
T0201,2025-12-19,C264,Male,18.0,Clothing,Jeans,1,971.12,971.12,UPI,Hyderabad
T0202,2025-02-18,C416,Female,35.0,Home & Kitchen,Cookware,2,1484.49,2968.98,Cash,Pune
T0203,2025-10-27,C481,Female,18.0,Beauty,Perfume,2,2784.5,5569.0,Debit Card,Delhi
T0204,2025-10-18,C454,Male,38.0,Clothing,Jacket,2,2496.19,4992.38,Cash,Delhi
T0205,2025-05-01,C155,Female,20.0,Beauty,Shampoo,2,567.37,1134.74,Cash,Hyderabad
T0206,2025-08-25,C379,Female,36.0,Beauty,Moisturizer,3,3723.28,11169.84,Debit Card,Delhi
T0207,2025-08-19,C388,Male,30.0,Groceries,Cooking Oil,4,819.76,3279.04,Net Banking,Mumbai
T0208,2025-05-31,C214,Male,37.0,Beauty,Shampoo,1,647.07,647.07,Credit Card,Hyderabad
T0209,2025-06-03,C296,Female,30.0,Groceries,Coffee,1,643.71,643.71,Debit Card,Delhi
T0210,2025-01-12,C339,Male,37.0,Home & Kitchen,Blender,5,10321.1,51605.5,Credit Card,Delhi
T0211,2025-12-02,C107,Female,39.0,Clothing,T-Shirt,4,4932.59,19730.36,UPI,Pune
T0212,2025-07-25,C376,Female,27.0,Home & Kitchen,Cookware,1,3226.84,3226.84,Credit Card,Hyderabad
T0213,2025-12-02,C410,Female,18.0,Clothing,T-Shirt,2,1265.59,2531.18,Net Banking,Mumbai
T0214,2025-04-27,C492,Male,27.0,Home & Kitchen,Blender,2,2354.03,4708.06,Credit Card,Mumbai
T0215,2025-05-21,C131,Female,30.0,Electronics,Headphones,5,30489.89,152449.45,Cash,Bengaluru
T0216,2025-02-12,C354,Female,35.0,Groceries,Cooking Oil,4,80.47,321.88,Cash,Chennai
T0217,2025-09-10,C156,Male,27.0,Home & Kitchen,Mixer,1,11941.99,11941.99,UPI,Chennai
T0218,2025-09-20,C180,Female,44.0,Electronics,Headphones,1,48700.19,48700.19,Cash,Hyderabad
T0219,2025-08-19,C278,Male,18.0,Beauty,Moisturizer,2,2202.76,4405.52,Net Banking,Mumbai
T0220,2025-01-14,C329,Male,39.0,Groceries,Biscuits,2,668.06,1336.12,Net Banking,Delhi
T0221,2025-11-10,C476,Male,26.0,Clothing,Jeans,1,4681.59,4681.59,Net Banking,Hyderabad
T0222,2025-06-30,C438,Male,29.0,Groceries,Rice,4,973.6,3894.4,Net Banking,Mumbai
T0223,2025-04-27,C382,Female,38.0,Electronics,Headphones,2,21833.0,43666.0,Cash,Bengaluru
T0224,2025-08-21,C321,Female,18.0,Beauty,Moisturizer,3,2008.87,6026.61,Net Banking,Delhi
T0225,2025-02-17,C129,Male,32.0,Clothing,T-Shirt,5,4948.86,24744.3,Credit Card,Bengaluru
T0226,2025-07-22,C347,Female,22.0,Clothing,Shoes,4,3038.13,12152.52,Debit Card,Delhi
T0227,2025-03-28,C201,Female,28.0,Electronics,Headphones,4,13496.06,53984.24,Net Banking,Hyderabad
T0228,2025-06-01,C117,Male,39.0,Home & Kitchen,Mixer,1,1505.2,1505.2,Cash,Pune
T0229,2025-01-28,C151,Male,20.0,Clothing,Jacket,3,4137.54,12412.62,Credit Card,Pune
T0230,2025-05-18,C138,Male,18.0,Groceries,Coffee,4,177.57,710.28,Cash,Hyderabad
T0231,2025-03-19,C205,Male,18.0,Electronics,Smartphone,1,39980.67,39980.67,UPI,Bengaluru
T0232,2025-09-15,C474,Male,24.0,Clothing,Jeans,3,2110.52,6331.56,Net Banking,Mumbai
T0233,2025-04-24,C378,Female,21.0,Clothing,Jacket,2,3525.51,7051.02,Cash,Pune
T0234,2025-05-02,C132,Female,32.0,Beauty,Moisturizer,2,248.32,496.64,UPI,Mumbai
T0235,2025-12-26,C338,Male,38.0,Electronics,Headphones,2,51783.92,103567.84,Cash,Chennai
T0236,2025-09-15,C129,Male,21.0,Home & Kitchen,Mixer,5,1187.86,5939.3,Cash,Chennai
T0237,2025-07-08,C453,Female,18.0,Clothing,Jacket,1,2773.79,2773.79,Debit Card,Delhi
T0238,2025-10-08,C228,Male,29.0,Home & Kitchen,Blender,3,10568.55,31705.65,Credit Card,Bengaluru
T0239,2025-01-10,C484,Female,27.0,Electronics,Smartwatch,3,18609.85,55829.55,Debit Card,Chennai
T0240,2025-03-27,C334,Female,21.0,Clothing,T-Shirt,2,3462.83,6925.66,Credit Card,Delhi
T0241,2025-03-11,C412,Male,37.0,Beauty,Face Wash,3,3399.49,10198.47,Net Banking,Bengaluru
T0242,2025-01-24,C327,Female,41.0,Beauty,Perfume,2,2943.87,5887.74,Net Banking,Delhi
T0243,2025-04-29,C171,Female,18.0,Groceries,Coffee,3,212.05,636.15,Net Banking,Delhi
T0244,2025-09-11,C124,Female,42.0,Home & Kitchen,Air Fryer,1,3247.46,3247.46,Credit Card,Chennai
T0245,2025-03-17,C130,Female,40.0,Beauty,Moisturizer,1,2842.58,2842.58,Net Banking,Mumbai
T0246,2025-04-23,C283,Male,18.0,Home & Kitchen,Air Fryer,2,2082.86,4165.72,Credit Card,Mumbai
T0247,2025-06-10,C298,Female,36.0,Electronics,Headphones,3,23571.06,70713.18,Cash,Chennai
T0248,2025-11-21,C161,Female,36.0,Beauty,Perfume,3,3811.19,11433.57,Credit Card,Chennai
T0249,2025-02-04,C402,Female,31.0,Groceries,Biscuits,1,1415.76,1415.76,Debit Card,Pune
T0250,2025-03-15,C292,Male,18.0,Groceries,Cooking Oil,1,1219.75,1219.75,Cash,Delhi
T0251,2025-06-23,C416,Female,30.0,Clothing,Shoes,1,815.04,815.04,Cash,Hyderabad
